date,temperature_2m_mean,daylight_duration,sunshine_duration,precipitation_sum,precipitation_hours,wind_speed_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,location
2020-05-14 23:00:00+00:00,-0.20641668,54283.758,2527.8318,9.7,16.0,6.489992,356.5891,6.81,"47.0148862689,9.2490818321"
2020-05-15 23:00:00+00:00,1.9790001,54427.61,25625.355,10.2,18.0,6.12,99.46228,13.28,"47.0148862689,9.2490818321"
2020-05-16 23:00:00+00:00,4.5581665,54569.297,42583.242,0.0,0.0,7.928178,17.54911,20.03,"47.0148862689,9.2490818321"
2020-05-17 23:00:00+00:00,5.3039994,54708.69,49410.082,0.8000001,5.0,9.107359,358.952,24.99,"47.0148862689,9.2490818321"
2020-05-18 23:00:00+00:00,6.599834,54845.63,49625.473,2.3999996,10.0,11.090103,24.916698,24.97,"47.0148862689,9.2490818321"
2020-05-19 23:00:00+00:00,5.9706664,54979.957,50265.965,0.9000001,6.0,10.041354,16.413673,21.95,"47.0148862689,9.2490818321"
2020-05-20 23:00:00+00:00,7.1540008,55111.52,50213.773,0.90000004,5.0,8.905908,13.775021,28.72,"47.0148862689,9.2490818321"
2020-05-21 23:00:00+00:00,9.164416,55240.16,44000.074,0.0,0.0,8.654987,275.33203,22.81,"47.0148862689,9.2490818321"
2020-05-22 23:00:00+00:00,6.764417,55365.707,26027.807,19.699999,13.0,14.264361,300.49326,14.53,"47.0148862689,9.2490818321"
2020-05-23 23:00:00+00:00,0.8915,55488.004,49739.688,1.6999999,3.0,8.78872,298.41254,22.11,"47.0148862689,9.2490818321"
2020-05-24 23:00:00+00:00,1.8019166,55606.875,41909.824,1.6000001,10.0,7.172949,338.61783,18.3,"47.0148862689,9.2490818321"
2020-05-25 23:00:00+00:00,3.4664996,55722.145,49433.676,0.2,2.0,9.885262,11.560126,26.59,"47.0148862689,9.2490818321"
2020-05-26 23:00:00+00:00,3.9081666,55833.652,51762.562,0.0,0.0,8.4042845,348.21188,29.35,"47.0148862689,9.2490818321"
2020-05-27 23:00:00+00:00,4.18525,55941.223,43996.06,0.6,5.0,11.183201,2.5003731,21.02,"47.0148862689,9.2490818321"
2020-05-28 23:00:00+00:00,2.6102502,56044.676,51493.145,0.0,0.0,7.8954163,61.35428,28.39,"47.0148862689,9.2490818321"
2020-05-29 23:00:00+00:00,2.3560836,56143.836,43138.727,1.0,4.0,9.83268,351.5232,21.0,"47.0148862689,9.2490818321"
2020-05-30 23:00:00+00:00,3.2977502,56238.53,50291.445,0.0,0.0,9.826088,352.9132,24.31,"47.0148862689,9.2490818321"
2020-05-31 23:00:00+00:00,5.8435836,56328.58,51943.426,0.0,0.0,8.654986,334.77234,28.02,"47.0148862689,9.2490818321"
2020-06-01 23:00:00+00:00,7.1248336,56413.914,52283.66,0.1,1.0,9.346143,347.9694,28.71,"47.0148862689,9.2490818321"
2020-06-02 23:00:00+00:00,7.6144166,56495.254,48559.582,6.6999993,11.0,7.10031,282.80423,25.98,"47.0148862689,9.2490818321"
2020-06-03 23:00:00+00:00,3.9789999,56572.688,976.44037,26.1,20.0,7.289445,226.81828,6.72,"47.0148862689,9.2490818321"
2020-06-04 23:00:00+00:00,2.5748332,56646.13,32221.041,7.2,17.0,7.7879906,288.24384,15.69,"47.0148862689,9.2490818321"
2020-06-05 23:00:00+00:00,5.754,56715.508,48139.367,8.100001,12.0,6.489992,227.14372,20.92,"47.0148862689,9.2490818321"
2020-06-06 23:00:00+00:00,1.3706666,56780.74,0.0,26.4,20.0,7.7879906,346.79886,5.67,"47.0148862689,9.2490818321"
2020-06-07 23:00:00+00:00,0.7727499,56841.758,7022.2266,6.2000003,14.0,6.924738,33.079197,12.47,"47.0148862689,9.2490818321"
2020-06-08 23:00:00+00:00,2.1019166,56898.48,27818.941,9.099999,20.0,7.172949,337.02725,17.03,"47.0148862689,9.2490818321"
2020-06-09 23:00:00+00:00,2.3394167,56950.844,13302.222,25.500002,24.0,7.491114,307.4271,10.65,"47.0148862689,9.2490818321"
2020-06-10 23:00:00+00:00,3.7081668,56998.77,34848.16,16.5,18.0,5.937272,158.29001,17.32,"47.0148862689,9.2490818321"
2020-06-11 23:00:00+00:00,6.370667,57042.195,52845.125,0.0,0.0,15.84,174.0579,28.63,"47.0148862689,9.2490818321"
2020-06-12 23:00:00+00:00,7.1914997,57081.055,50598.7,5.2,10.0,10.086427,212.79958,24.39,"47.0148862689,9.2490818321"
2020-06-13 23:00:00+00:00,3.8623333,57115.28,4311.88,7.3999996,18.0,7.8954163,306.5203,8.41,"47.0148862689,9.2490818321"
2020-06-14 23:00:00+00:00,4.77275,57144.81,15898.788,2.8,20.0,7.7879906,322.262,12.44,"47.0148862689,9.2490818321"
2020-06-15 23:00:00+00:00,5.368583,57169.58,31971.453,9.400001,20.0,6.5693827,354.86368,15.07,"47.0148862689,9.2490818321"
2020-06-16 23:00:00+00:00,4.6227508,57189.547,5350.933,13.500001,20.0,7.653705,301.10275,11.58,"47.0148862689,9.2490818321"
2020-06-17 23:00:00+00:00,4.3664994,57204.64,43537.957,7.8,13.0,7.6367526,348.8401,20.93,"47.0148862689,9.2490818321"
2020-06-18 23:00:00+00:00,2.408167,57214.816,22925.777,10.9,15.0,5.95906,287.3741,11.28,"47.0148862689,9.2490818321"
2020-06-19 23:00:00+00:00,3.8685837,57220.03,49961.633,1.6000001,11.0,7.289445,326.61145,18.96,"47.0148862689,9.2490818321"
2020-06-20 23:00:00+00:00,5.8165,57220.227,52811.133,1.8000002,10.0,9.021574,310.6655,22.39,"47.0148862689,9.2490818321"
2020-06-21 23:00:00+00:00,7.2123322,57215.355,43225.266,2.0,12.0,8.427383,337.00504,17.92,"47.0148862689,9.2490818321"
2020-06-22 23:00:00+00:00,9.251918,57205.33,52987.32,0.0,0.0,7.5942073,38.113632,29.73,"47.0148862689,9.2490818321"
2020-06-23 23:00:00+00:00,10.285251,57190.184,52973.812,0.1,1.0,7.754637,337.08704,28.95,"47.0148862689,9.2490818321"
2020-06-24 23:00:00+00:00,10.71025,57169.99,52955.797,1.9000001,9.0,10.799999,296.89618,27.26,"47.0148862689,9.2490818321"
